Date,Open,High,Low,Close,Adj Close,Volume
23/09/2015,113.629997,114.720001,113.300003,114.32,109.147812,35756700
24/09/2015,113.25,115.5,112.370003,115,109.79705,50219500
25/09/2015,116.440002,116.690002,114.019997,114.709999,109.520172,56151900
28/09/2015,113.849998,114.57,112.440002,112.440002,107.352859,52109000
29/09/2015,112.830002,113.510002,107.860001,109.059998,104.125793,73365400
30/09/2015,110.169998,111.540001,108.730003,110.300003,105.309692,66473000
01/10/2015,109.07,109.620003,107.309998,109.580002,104.622276,63929100
02/10/2015,108.010002,111.010002,107.550003,110.379997,105.38607,58019800
05/10/2015,109.879997,111.370003,109.07,110.779999,105.76799,52064700
06/10/2015,110.629997,111.739998,109.769997,111.309998,106.273987,48196800
07/10/2015,111.739998,111.769997,109.410004,110.779999,105.76799,46765600
08/10/2015,110.190002,110.190002,108.209999,109.5,104.545883,61979600
09/10/2015,110,112.279999,109.489998,112.120003,107.04734,52766100
12/10/2015,112.730003,112.75,111.440002,111.599998,106.550873,30467200
13/10/2015,110.82,112.449997,110.68,111.790001,106.732285,33049300
14/10/2015,111.290001,111.519997,109.559998,110.209999,105.223763,44462400
15/10/2015,110.93,112.099998,110.489998,111.860001,106.799118,37673500
16/10/2015,111.779999,112,110.529999,111.040001,106.016212,39232600
19/10/2015,110.800003,111.75,110.110001,111.730003,106.674995,29759200
20/10/2015,111.339996,114.169998,110.82,113.769997,108.622688,48778800
21/10/2015,114,115.580002,113.699997,113.760002,108.613159,41795200
22/10/2015,114.330002,115.5,114.099998,115.5,110.274422,41654100
23/10/2015,116.699997,119.230003,116.330002,119.080002,113.692459,59366900
26/10/2015,118.080002,118.129997,114.919998,115.279999,110.064369,66333800
27/10/2015,115.400002,116.540001,113.989998,114.550003,109.367401,69884400
28/10/2015,116.93,119.300003,116.059998,119.269997,113.873856,85551400
29/10/2015,118.699997,120.690002,118.269997,120.529999,115.076851,51227300
30/10/2015,120.989998,121.220001,119.449997,119.5,114.093452,49365300
02/11/2015,120.800003,121.360001,119.610001,121.18,115.697449,32203300
03/11/2015,120.790001,123.489998,120.699997,122.57,117.024551,45519000
04/11/2015,123.129997,123.82,121.620003,122,116.480339,44886100
05/11/2015,121.849998,122.690002,120.18,120.919998,115.94339,39552700
06/11/2015,121.110001,121.809998,120.620003,121.059998,116.077629,33042300
09/11/2015,120.959999,121.809998,120.050003,120.57,115.607796,33871400
10/11/2015,116.900002,118.07,116.059998,116.769997,111.964195,59127900
11/11/2015,116.370003,117.419998,115.209999,116.110001,111.331345,45218000
12/11/2015,116.260002,116.82,115.650002,115.720001,110.957413,32525600
13/11/2015,115.199997,115.57,112.269997,112.339996,107.716499,45812400
16/11/2015,111.379997,114.239998,111,114.18,109.480782,38106700
17/11/2015,114.919998,115.050003,113.32,113.690002,109.010956,27616900
18/11/2015,115.760002,117.489998,115.5,117.290001,112.462791,46674700
